,datetime,open,close,high,low,volume
0,2021-02-26,110.0,109.0,143.0,100.0,86297
1,2021-03-01,99.79,93.0,108.5,91.29,61750
2,2021-03-02,90.07,91.96,95.93,85.08,57171
3,2021-03-03,88.86,83.92,89.9,83.81,42821
4,2021-03-04,83.6,78.57,86.38,78.35,43818
5,2021-03-05,75.0,72.75,77.97,72.56,39338
6,2021-03-08,73.77,74.2,75.7,72.9,34016
7,2021-03-09,73.47,67.8,73.47,67.58,31419
8,2021-03-10,68.0,67.99,69.5,67.0,20518
9,2021-03-11,68.0,68.48,69.13,66.01,18460
10,2021-03-12,68.09,70.48,72.76,67.11,31826
11,2021-03-15,69.0,67.16,69.02,66.62,21793
12,2021-03-16,67.2,66.5,67.79,65.62,15233
13,2021-03-17,67.03,68.0,68.64,66.51,18181
14,2021-03-18,67.51,68.0,68.68,66.67,16591
15,2021-03-19,67.62,68.23,70.18,66.82,22957
16,2021-03-22,68.23,72.17,73.33,68.23,34480
17,2021-03-23,71.9,73.65,76.33,69.44,37650
18,2021-03-24,72.0,72.8,75.1,72.0,27408
19,2021-03-25,71.0,67.31,71.0,67.01,25762
20,2021-03-26,67.0,68.2,70.7,67.0,19601
21,2021-03-29,67.5,67.19,69.3,67.12,15571
22,2021-03-30,67.99,65.91,68.15,65.62,16244
23,2021-03-31,65.99,66.92,67.4,65.53,13201
24,2021-04-01,66.01,64.56,66.66,64.05,17983
25,2021-04-02,64.69,65.24,65.59,64.07,9625
26,2021-04-06,65.24,66.08,66.08,65.2,8540
27,2021-04-07,65.78,67.94,68.06,65.67,16988
28,2021-04-08,68.5,68.27,72.51,68.02,28898
29,2021-04-09,67.89,67.33,68.75,66.67,16386
30,2021-04-12,67.33,65.0,67.85,64.87,15585
31,2021-04-13,65.16,66.0,66.0,64.8,8897
32,2021-04-14,66.22,65.81,66.43,65.0,8587
33,2021-04-15,65.98,65.21,66.41,65.06,8728
34,2021-04-16,65.21,65.98,66.25,65.12,7006
35,2021-04-19,65.6,66.6,66.7,65.16,8991
36,2021-04-20,66.62,65.52,67.3,65.45,10225
37,2021-04-21,65.0,64.54,65.19,64.49,7911
38,2021-04-22,64.68,64.7,65.65,64.45,7105
39,2021-04-23,64.8,61.55,64.98,61.51,16996
40,2021-04-26,61.2,60.18,61.44,60.01,9478
41,2021-04-27,60.5,57.77,60.6,57.46,11446
42,2021-04-28,57.01,58.8,58.86,57.01,7152
43,2021-04-29,58.0,56.23,58.0,56.22,12031
44,2021-04-30,56.23,54.5,56.41,54.42,10539
45,2021-05-06,54.32,54.55,55.29,54.32,5022
46,2021-05-07,54.65,53.64,54.91,53.61,7439
47,2021-05-10,53.54,52.71,53.86,52.58,6344
48,2021-05-11,52.8,53.78,54.37,52.65,7755
49,2021-05-12,53.01,54.45,54.85,52.65,8227
50,2021-05-13,54.0,53.29,54.6,53.21,6181
51,2021-05-14,53.63,53.98,54.23,53.3,5370
52,2021-05-17,53.6,54.19,54.19,53.1,6270
53,2021-05-18,54.36,55.27,55.29,54.0,8413
54,2021-05-19,55.2,53.9,55.22,53.9,6393
55,2021-05-20,53.76,52.97,53.77,52.86,5380
56,2021-05-21,53.02,53.78,54.86,53.02,7364
57,2021-05-24,53.41,53.43,53.78,53.15,4485
58,2021-05-25,53.16,53.42,53.52,52.88,5084
59,2021-05-26,53.42,54.41,54.58,53.34,7913
60,2021-05-27,54.46,55.43,56.47,54.46,11130
61,2021-05-28,55.19,54.17,55.55,54.13,7220
62,2021-05-31,54.0,54.7,54.78,54.0,4571
63,2021-06-01,54.75,55.22,55.48,54.46,4946
64,2021-06-02,55.4,55.47,55.85,54.62,6944
65,2021-06-03,56.0,55.9,57.38,55.61,11487
66,2021-06-04,55.75,54.93,55.75,54.73,7520
67,2021-06-07,55.26,54.6,55.45,54.47,4570
68,2021-06-08,54.92,54.38,54.92,54.33,3972
69,2021-06-09,54.72,54.56,54.72,54.31,3503
70,2021-06-10,54.36,53.75,54.59,53.67,6091
71,2021-06-11,53.9,54.18,54.88,53.69,4560
72,2021-06-15,54.0,53.03,54.08,52.96,4999
73,2021-06-16,53.53,52.75,53.53,52.73,3744
74,2021-06-17,52.66,53.1,53.1,52.52,3953
75,2021-06-18,53.34,53.67,53.74,52.8,3515
76,2021-06-21,53.48,54.23,54.48,53.41,4700
77,2021-06-22,54.23,54.45,54.55,53.89,5465
78,2021-06-23,54.71,54.3,54.71,54.03,4743
79,2021-06-24,54.23,54.72,55.34,54.03,7537
80,2021-06-25,54.71,56.1,58.44,53.8,21078
81,2021-06-28,56.0,54.56,56.0,54.23,11496
82,2021-06-29,54.15,53.73,54.69,53.6,6516
83,2021-06-30,53.66,53.79,54.17,53.51,3754
84,2021-07-01,53.8,53.16,54.09,53.15,3976
85,2021-07-02,53.25,52.93,53.46,52.76,4176
86,2021-07-05,53.0,53.28,53.39,52.93,2523
87,2021-07-06,53.42,53.67,53.72,53.05,3453
88,2021-07-07,53.42,53.88,54.09,53.42,3864
89,2021-07-08,53.87,52.41,54.05,52.41,5551
90,2021-07-09,52.12,52.63,53.09,52.12,3454
91,2021-07-12,53.0,52.61,53.05,52.19,3636
92,2021-07-13,52.85,52.45,52.87,52.26,3951
93,2021-07-14,52.45,52.06,52.53,51.91,4842
94,2021-07-15,52.03,50.75,52.28,50.16,5017
95,2021-07-16,50.54,50.77,51.1,50.54,2696
96,2021-07-19,50.77,49.48,50.77,49.4,4510
97,2021-07-20,49.09,49.47,49.79,49.02,2522
98,2021-07-21,49.66,49.82,50.44,49.23,3192
99,2021-07-22,49.78,50.1,50.3,49.38,4086
100,2021-07-23,50.11,49.01,50.29,49.0,3793
101,2021-07-26,49.11,47.65,49.38,47.25,4884
102,2021-07-27,47.42,48.68,49.63,47.22,6806
103,2021-07-28,48.7,47.02,48.7,46.59,3988
104,2021-07-29,47.99,47.5,47.99,47.05,2865
105,2021-07-30,47.6,47.93,48.59,47.16,3159
106,2021-08-02,47.55,48.57,48.57,47.55,3773
107,2021-08-03,48.58,48.84,48.98,48.29,3604
108,2021-08-04,49.17,48.86,49.36,48.58,3474
109,2021-08-05,48.56,47.96,48.9,47.82,3232
110,2021-08-06,48.28,47.42,48.28,47.42,2541
111,2021-08-09,47.21,48.48,48.6,47.21,3187
112,2021-08-10,48.49,49.08,49.1,48.44,3729
113,2021-08-11,48.56,49.19,49.6,48.56,4084
114,2021-08-12,49.2,49.27,49.4,48.78,3712
115,2021-08-13,49.23,49.96,50.48,49.0,8695
116,2021-08-16,49.98,50.45,50.5,49.1,6331
117,2021-08-17,50.15,49.14,51.25,49.0,6530
118,2021-08-18,48.92,49.89,50.35,48.73,4307
119,2021-08-19,49.88,49.12,49.9,49.01,3292
120,2021-08-20,49.0,48.1,49.21,48.0,4297
121,2021-08-23,48.22,50.23,50.34,48.22,7183
122,2021-08-24,50.23,50.8,50.88,49.8,6287
123,2021-08-25,50.8,50.48,51.15,50.34,3561
124,2021-08-26,50.46,49.99,50.77,49.85,4039
125,2021-08-27,49.99,50.85,51.06,49.99,5671
126,2021-08-30,48.74,46.46,48.75,46.46,12934
127,2021-08-31,46.06,46.55,46.87,46.06,4056
128,2021-09-01,46.55,47.03,47.25,46.0,4508
129,2021-09-02,46.8,47.03,47.55,46.63,4133
130,2021-09-03,46.8,47.67,48.28,46.76,6932
131,2021-09-06,47.89,47.6,47.89,47.09,4529
132,2021-09-07,47.63,47.62,48.27,47.56,3287
133,2021-09-08,47.62,47.64,47.79,47.42,3996
134,2021-09-09,47.64,47.8,47.88,47.14,4883
135,2021-09-10,47.6,47.48,47.8,47.2,3299
