,datetime,open,close,high,low,volume
0,2017-12-26,5.0,5.0,5.0,5.0,21200
1,2018-12-26,4.0,4.0,4.0,4.0,14000
2,2021-06-03,4.39,4.39,4.39,4.39,10
3,2022-04-21,4.51,4.51,4.51,4.51,0
4,2023-07-19,8.6,10.39,12.98,8.27,195832
5,2023-07-20,9.61,9.96,10.25,9.38,118993
6,2023-07-21,9.99,8.88,10.22,8.81,96361
7,2023-07-24,8.44,8.1,8.7,7.82,66555
8,2023-07-25,8.18,8.1,8.65,7.92,52496
9,2023-07-26,7.95,7.53,7.98,7.51,53676
10,2023-07-27,7.56,7.4,7.59,7.35,31795
11,2023-07-28,7.42,7.25,7.42,7.09,22693
12,2023-07-31,7.41,7.51,7.78,7.31,32748
13,2023-08-01,7.53,7.29,7.53,7.23,24416
14,2023-08-02,7.29,7.38,7.64,7.23,22164
15,2023-08-03,7.35,7.28,7.35,7.23,16525
16,2023-08-04,7.4,7.28,7.4,7.25,11348
17,2023-08-07,7.31,7.15,7.31,7.14,11697
18,2023-08-08,7.12,7.22,7.36,7.1,13166
19,2023-08-09,7.2,7.23,7.27,7.16,8008
20,2023-08-10,7.28,7.52,7.69,7.21,35722
21,2023-08-11,7.45,7.33,7.5,7.3,19063
22,2023-08-14,7.29,7.13,7.29,7.09,14569
23,2023-08-15,7.1,7.07,7.17,7.06,11282
24,2023-08-16,7.07,7.06,7.19,7.03,9012
25,2023-08-17,7.08,7.01,7.08,6.98,6021
26,2023-08-18,6.97,6.99,7.14,6.97,9981
27,2023-08-21,7.05,6.95,7.05,6.9,7661
28,2023-08-22,6.97,6.69,6.98,6.68,14872
29,2023-08-23,6.64,6.24,6.64,6.21,14750
30,2023-08-24,6.24,6.09,6.24,6.05,10242
31,2023-08-25,6.03,5.99,6.08,5.86,8588
32,2023-08-28,6.38,6.02,6.38,6.0,7004
33,2023-08-29,5.95,6.16,6.26,5.85,7751
34,2023-08-30,6.17,6.23,6.36,6.03,7582
35,2023-08-31,6.22,6.14,6.22,6.04,6640
36,2023-09-01,6.12,6.78,7.11,6.09,37235
37,2023-09-04,7.0,7.65,7.89,6.87,56952
38,2023-09-05,7.38,7.07,7.39,7.05,33331
39,2023-09-06,7.1,7.72,8.13,7.02,54781
40,2023-09-07,7.45,7.41,7.83,7.31,30432
41,2023-09-08,7.1,7.15,7.37,7.07,20914
42,2023-09-11,7.28,7.12,7.6,7.08,11496
43,2023-09-12,7.09,6.79,7.1,6.78,17946
44,2023-09-13,6.77,6.8,6.85,6.61,9661
45,2023-09-14,6.76,6.95,7.13,6.67,11071
46,2023-09-15,6.93,6.99,7.15,6.93,10644
47,2023-09-18,7.06,6.88,7.06,6.79,5278
48,2023-09-19,6.84,6.73,6.91,6.69,6633
49,2023-09-20,6.75,6.48,6.75,6.47,8149
50,2023-09-21,6.4,6.48,6.59,6.4,4738
51,2023-09-22,6.44,6.67,6.68,6.4,4780
52,2023-09-25,6.58,6.53,6.65,6.51,2768
53,2023-09-26,6.48,6.44,6.53,6.39,4272
54,2023-09-27,6.41,6.32,6.5,6.27,6716
55,2023-09-28,6.45,6.54,6.63,6.34,5035
56,2023-10-09,6.54,6.41,6.54,6.39,4838
57,2023-10-10,6.46,6.39,6.47,6.37,3231
58,2023-10-11,6.37,6.35,6.45,6.35,2072
