,datetime,open,close,high,low,volume
0,2019-12-09,31.0,35.38,40.3,31.0,153050
1,2019-12-10,33.76,39.82,43.5,32.8,130630
2,2019-12-11,37.05,34.3,37.71,34.3,79266
3,2019-12-12,34.9,35.51,36.7,34.4,55185
4,2019-12-13,35.19,35.55,35.8,34.12,39512
5,2019-12-16,35.79,37.09,37.35,35.48,39125
6,2019-12-17,36.69,37.72,38.33,36.69,39333
7,2019-12-18,38.65,42.5,45.25,38.56,66251
8,2019-12-19,41.51,41.0,42.36,40.21,35635
9,2019-12-20,41.33,41.98,45.5,41.06,42505
10,2019-12-23,41.22,44.09,45.0,41.14,42479
11,2019-12-24,43.3,44.15,44.77,42.94,23713
12,2019-12-25,43.82,42.48,44.58,42.0,32692
13,2019-12-26,42.88,43.51,44.4,42.42,25761
14,2019-12-27,43.15,41.14,43.62,41.14,22833
15,2019-12-30,41.1,40.7,41.53,39.24,17160
16,2019-12-31,40.71,42.15,42.68,40.48,21856
17,2020-01-02,42.18,43.07,43.2,41.63,17386
18,2020-01-03,43.3,42.41,43.4,41.92,12306
19,2020-01-06,42.44,41.5,42.98,41.21,13804
20,2020-01-07,41.6,43.4,43.58,41.22,21321
21,2020-01-08,43.16,42.58,43.6,42.42,12456
22,2020-01-09,43.31,45.92,46.99,43.16,31996
23,2020-01-10,45.54,47.52,48.66,45.3,29245
24,2020-01-13,47.26,47.8,47.9,46.38,17042
25,2020-01-14,48.5,47.02,48.5,46.76,16640
26,2020-01-15,47.03,47.0,48.3,46.56,11644
27,2020-01-16,47.38,47.78,48.95,46.5,21743
28,2020-01-17,47.9,49.0,50.85,47.4,26818
29,2020-01-20,49.15,53.98,54.86,49.15,28444
30,2020-01-21,54.92,50.23,54.98,49.96,27716
31,2020-01-22,49.9,56.71,58.58,48.58,30668
32,2020-01-23,55.0,53.75,57.48,52.85,23448
33,2020-02-03,45.3,49.66,52.88,45.3,26757
34,2020-02-04,50.0,53.22,54.58,49.6,24930
35,2020-02-05,53.0,55.48,56.0,51.82,33500
36,2020-02-06,54.3,55.56,57.73,53.68,28252
37,2020-02-07,55.38,55.63,57.2,54.56,18059
38,2020-02-10,55.25,56.15,58.8,55.25,17837
39,2020-02-11,55.2,52.38,56.4,51.01,21445
40,2020-02-12,52.77,53.4,53.79,51.88,14323
41,2020-02-13,53.49,52.78,53.88,51.5,15323
42,2020-02-14,52.99,52.01,53.9,51.69,12836
43,2020-02-17,52.54,53.5,53.54,51.58,14684
44,2020-02-18,53.6,53.58,53.99,52.7,13078
45,2020-02-19,53.68,51.5,53.8,51.5,15150
46,2020-02-20,51.23,50.25,51.8,49.11,17974
47,2020-02-21,50.25,50.7,51.78,49.55,9230
48,2020-02-24,50.78,50.35,51.29,49.5,11236
49,2020-02-25,49.4,50.7,51.39,49.0,11066
50,2020-02-26,50.02,47.6,50.5,47.0,12987
51,2020-02-27,47.99,48.03,48.4,47.37,6610
52,2020-02-28,47.03,47.48,48.02,46.55,8082
53,2020-03-02,47.45,49.03,49.4,47.4,10230
54,2020-03-03,50.0,49.49,50.89,49.1,12186
55,2020-03-04,48.7,48.22,49.98,47.72,7254
56,2020-03-05,48.9,50.0,50.5,48.6,10799
57,2020-03-06,49.13,49.98,50.58,49.13,8749
58,2020-03-09,48.0,48.41,50.08,48.0,7815
59,2020-03-10,47.78,48.54,48.96,47.03,7625
60,2020-03-11,48.87,47.81,49.4,47.81,5081
61,2020-03-12,46.95,45.96,47.42,45.6,8366
62,2020-03-13,42.0,44.74,45.59,42.0,10536
63,2020-03-16,44.7,41.8,45.74,41.58,8886
64,2020-03-17,42.2,41.97,42.96,41.0,7011
65,2020-03-18,42.2,41.79,43.49,41.4,4976
66,2020-03-19,41.9,41.69,42.3,40.52,4033
67,2020-03-20,42.07,41.93,42.57,41.26,3683
68,2020-03-23,41.1,39.7,41.94,39.63,5289
69,2020-03-24,40.2,41.33,41.36,40.06,5349
70,2020-03-25,42.19,43.28,44.02,42.02,5339
71,2020-03-26,43.28,43.81,43.96,42.51,4114
72,2020-03-27,43.8,43.0,44.41,43.0,4515
73,2020-03-30,42.66,40.78,42.66,40.5,4135
74,2020-03-31,41.27,40.35,41.86,40.32,2098
75,2020-04-01,40.71,40.31,40.92,40.21,1814
76,2020-04-02,40.1,43.78,44.46,40.0,7927
77,2020-04-03,43.5,45.11,45.9,43.3,6759
78,2020-04-07,46.0,45.38,46.96,45.05,5090
79,2020-04-08,44.39,45.51,46.74,44.39,3903
80,2020-04-09,45.51,46.5,46.9,45.0,5350
81,2020-04-10,46.38,45.21,47.2,45.01,4392
82,2020-04-13,44.95,44.34,45.5,44.1,2676
83,2020-04-14,44.69,44.8,45.15,44.37,1818
84,2020-04-15,44.8,45.02,46.36,44.8,3750
85,2020-04-16,44.73,45.67,47.0,44.73,6844
86,2020-04-17,45.53,45.93,46.36,45.15,3112
87,2020-04-20,45.93,47.47,47.78,45.54,4361
88,2020-04-21,47.54,48.31,49.28,46.18,6771
89,2020-04-22,47.3,48.01,48.6,47.0,5812
90,2020-04-23,48.28,50.2,50.5,48.1,8739
91,2020-04-24,50.0,50.42,52.5,49.9,9199
92,2020-04-27,50.31,51.21,51.96,49.5,6854
93,2020-04-28,52.29,49.6,52.3,48.5,8415
94,2020-04-29,49.3,47.89,50.25,47.89,8279
95,2020-04-30,48.16,49.3,49.87,47.8,4711
96,2020-05-06,48.7,50.4,50.65,47.81,10563
97,2020-05-07,49.86,53.3,55.06,49.8,20529
98,2020-05-08,53.35,52.38,53.5,52.0,9640
99,2020-05-11,52.38,52.44,53.0,51.83,6617
100,2020-05-12,52.65,53.95,54.49,52.09,9445
101,2020-05-13,54.49,58.0,58.99,53.33,18069
102,2020-05-14,57.44,57.79,59.6,57.0,11184
103,2020-05-15,58.5,56.77,58.98,56.56,11985
104,2020-05-18,57.97,57.61,58.5,56.33,8138
105,2020-05-19,58.35,58.45,61.0,57.2,11568
106,2020-05-20,58.01,54.98,58.44,54.39,12076
107,2020-05-21,55.0,55.84,58.51,54.8,12425
108,2020-05-22,55.23,53.61,56.7,51.51,8809
109,2020-05-25,54.18,53.48,54.37,52.56,7272
110,2020-05-26,53.48,62.16,64.0,53.48,23810
111,2020-05-27,61.3,61.05,63.46,60.42,12544
112,2020-05-28,61.05,59.4,61.66,58.1,11970
113,2020-05-29,59.7,65.45,67.28,59.4,18724
114,2020-06-01,65.57,66.67,70.0,63.95,17364
115,2020-06-02,66.34,66.25,67.88,64.86,7716
116,2020-06-03,65.68,68.65,71.48,65.68,12586
117,2020-06-04,67.9,70.12,70.6,67.13,13284
118,2020-06-05,69.5,77.12,79.0,69.5,19417
119,2020-06-08,77.65,78.77,81.56,75.31,16256
120,2020-06-09,77.0,79.19,81.81,73.7,17967
121,2020-06-10,78.3,91.18,91.28,77.51,22340
122,2020-06-11,91.03,91.5,95.58,87.18,16698
123,2020-06-12,88.4,89.41,95.75,87.5,23011
124,2020-06-15,88.2,95.37,95.5,86.32,26203
125,2020-06-16,94.98,91.5,95.0,88.3,20830
126,2020-06-17,89.0,91.18,95.5,89.0,16042
127,2020-06-18,91.18,91.95,95.36,83.5,22701
128,2020-06-19,89.9,99.0,101.49,89.9,18083
129,2020-06-22,100.0,107.6,109.88,99.2,17135
130,2020-06-23,108.0,109.33,115.2,108.0,16612
131,2020-06-24,110.0,105.5,111.98,103.16,15595
132,2020-06-29,106.6,115.5,118.0,106.6,15888
133,2020-06-30,117.5,131.73,132.9,114.6,20624
134,2020-07-01,129.98,128.78,130.9,118.5,25448
135,2020-07-02,125.8,127.0,135.74,123.5,21138
136,2020-07-03,126.0,118.0,126.49,110.03,24857
137,2020-07-06,115.0,113.0,115.97,108.0,25346
138,2020-07-07,111.52,117.99,120.5,108.01,26726
139,2020-07-08,116.99,114.0,118.6,111.0,17791
140,2020-07-09,113.99,136.7,136.7,111.6,31985
141,2020-07-10,134.14,135.55,149.88,131.56,27474
142,2020-07-13,135.0,140.5,141.94,129.04,18957
143,2020-07-14,138.0,136.13,144.98,129.0,18239
144,2020-07-15,133.0,127.93,135.73,126.5,13219
145,2020-07-16,127.79,107.1,131.8,105.0,19373
146,2020-07-17,106.1,105.19,111.88,104.1,15788
147,2020-07-20,108.31,111.8,111.8,96.0,17940
148,2020-07-21,110.0,111.61,116.98,108.0,13387
149,2020-07-22,112.94,112.85,115.8,108.92,10206
150,2020-07-23,112.85,117.2,119.65,110.01,14098
151,2020-07-24,114.01,104.5,118.19,103.36,14439
152,2020-07-27,103.5,100.1,105.95,98.01,9738
153,2020-07-28,100.67,102.99,103.82,98.57,8270
154,2020-07-29,103.61,109.18,110.0,101.78,10534
155,2020-07-30,108.77,105.96,110.66,105.36,10524
156,2020-07-31,107.65,102.72,107.65,100.48,13825
157,2020-08-03,103.0,107.5,107.68,103.0,13435
158,2020-08-04,108.38,106.7,113.36,104.6,10904
159,2020-08-05,106.91,103.77,107.61,102.1,12173
160,2020-08-06,103.83,100.14,105.5,96.8,17646
161,2020-08-07,100.74,98.32,102.36,96.05,7846
162,2020-08-10,99.1,99.55,101.61,97.57,6090
163,2020-08-11,99.55,97.0,101.28,96.57,8410
164,2020-08-12,96.5,92.52,97.39,88.08,12991
165,2020-08-13,92.0,91.38,93.75,91.07,4852
166,2020-08-14,92.1,96.1,97.5,90.91,6428
167,2020-08-17,96.3,96.75,97.5,94.11,4778
168,2020-08-18,96.73,96.98,98.5,95.12,6393
169,2020-08-19,96.5,95.47,97.84,95.01,4590
170,2020-08-20,95.0,93.8,97.1,93.1,3942
171,2020-08-21,94.75,96.05,96.8,94.75,3369
172,2020-08-24,97.03,96.34,97.48,94.18,3536
173,2020-08-25,96.33,101.71,102.73,95.56,8804
174,2020-08-26,101.0,102.05,106.3,100.18,10594
175,2020-08-27,105.0,101.75,105.0,99.05,5336
176,2020-08-28,99.83,100.9,103.78,99.2,3555
177,2020-08-31,100.94,96.6,101.72,96.06,5977
178,2020-09-01,96.39,95.12,96.58,91.74,6099
179,2020-09-02,95.88,94.53,96.0,93.23,3310
180,2020-09-03,94.82,94.3,95.5,92.87,2518
181,2020-09-04,92.77,95.07,95.26,92.11,2354
